	cell_type	gene
0	Acinar cells	CTRB1
1	Acinar cells	KLK1
2	Acinar cells	RBPJL
3	Acinar cells	PTF1A
4	Acinar cells	CELA3A
5	Acinar cells	PRSS1
6	Acinar cells	SPINK1
7	Acinar cells	ZG16
8	Acinar cells	CEL
9	Acinar cells	CELA2A
10	Acinar cells	CPB1
11	Acinar cells	CELA1
12	Acinar cells	RNASE1
13	Acinar cells	AMY2B
14	Acinar cells	CPA2
15	Acinar cells	CPA1
16	Acinar cells	CELA3B
17	Acinar cells	PNLIP
18	Acinar cells	CTRB2
19	Acinar cells	PLA2G1B
20	Acinar cells	PRSS2
21	Acinar cells	CLPS
22	Acinar cells	REG1A
23	Acinar cells	SYCN
24	Acinar cells	PNLIPRP1
25	Acinar cells	CTRC
26	Acinar cells	REG3A
27	Acinar cells	SERPINA3
28	Acinar cells	PRSS3
29	Acinar cells	REG1B
30	Acinar cells	CFB
31	Acinar cells	GDF15
32	Acinar cells	MUC1
33	Acinar cells	C15ORF48
34	Acinar cells	DUOXA2
35	Acinar cells	AKR1C3
36	Acinar cells	OLFM4
37	Acinar cells	GSTA1
38	Acinar cells	LGALS2
39	Acinar cells	PDZK1IP1
40	Acinar cells	RARRES2
41	Acinar cells	CXCL17
42	Acinar cells	UBD
43	Acinar cells	GSTA2
44	Acinar cells	ANPEP
45	Acinar cells	LYZ
46	Acinar cells	ANGPTL4
47	Acinar cells	ALDOB
48	Adipocyte progenitor cells	CEBPA
49	Adipocyte progenitor cells	EGFR
50	Adipocyte progenitor cells	FGF10
51	Adipocyte progenitor cells	GSC
52	Adipocyte progenitor cells	MMP3
53	Adipocyte progenitor cells	PPARG
54	Adipocyte progenitor cells	TWIST2
55	Adipocyte progenitor cells	GATA3
56	Adipocyte progenitor cells	GLI1
57	Adipocyte progenitor cells	SMO
58	Adipocyte progenitor cells	STAB1
59	Adipocyte progenitor cells	WISP2
60	Adipocyte progenitor cells	WT1
61	Adipocyte progenitor cells	SCARA5
62	Adipocyte progenitor cells	HOXC8
63	Adipocyte progenitor cells	TCF7L1
64	Adipocyte progenitor cells	HOXC9
65	Adipocyte progenitor cells	HOXC6
66	Adipocyte progenitor cells	HOXC4
67	Adipocyte progenitor cells	ZNF521
68	Adipocyte progenitor cells	SULT1E1
69	Adipocyte progenitor cells	EBF2
70	Adipocyte progenitor cells	NRG4
71	Adipocytes	SLC36A2
72	Adipocytes	P2RX5
73	Adipocytes	LEP
74	Adipocytes	UCP1
75	Adipocytes	CIDEA
76	Adipocytes	PRDM16
77	Adipocytes	LHX8
78	Adipocytes	EPSTI1
79	Adipocytes	MC2R
80	Adipocytes	FFAR2
81	Adipocytes	PIKFYVE
82	Adipocytes	CYP11B2
83	Adipocytes	TLR2
84	Adipocytes	TLR4
85	Adipocytes	ADRB1
86	Adipocytes	ADRB2
87	Adipocytes	ADRB3
88	Adipocytes	FABP4
89	Adipocytes	TNFRSF9
90	Adipocytes	TBX1
91	Adipocytes	TMEM26
92	Adipocytes	TCF21
93	Adipocytes	ADIPOQ
94	Adipocytes	CFD
95	Adipocytes	ACVR1C
96	Adipocytes	SLC2A4
97	Adipocytes	LPIN1
98	Adipocytes	PLIN1
99	Adipocytes	PCK1
100	Adipocytes	PPARG
101	Adipocytes	RETN
102	Adipocytes	MEST
103	Adipocytes	ADM2
104	Adipocytes	STAT6
105	Adipocytes	TFE3
106	Adipocytes	CPPED1
107	Adipocytes	APPL2
108	Adipocytes	APOL6
109	Adipocytes	PXMP2
110	Adipocytes	CAVIN1
111	Adipocytes	AGT
112	Adipocytes	SLC1A5
113	Adipocytes	ACSL1
114	Adipocytes	BCAT2
115	Adipocytes	PNPLA2
116	Adipocytes	CIDEC
117	Adipocytes	CDO1
118	Adipocytes	APOC1
119	Adipocytes	MMP2
120	Adipocytes	POSTN
121	Adipocytes	LOX
122	Adipocytes	COL6A2
123	Adipocytes	ZBTB16
124	Adipocytes	GULP1
125	Adipocytes	FZD4
126	Adipocytes	TRIP10
127	Adipocytes	FGF7
128	Adipocytes	MAOB
129	Adipocytes	SOCS1
130	Adipocytes	ARNT
131	Adipocytes	SULT1A1
