	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	origin
smooth-muscle-cell	-0.0460342	0.17864436	-0.10519732	0.040215045	0.0303685	0.26732382	-0.031543948	-0.14787616	0.0718626	-0.33237678	-0.09341381	-0.03824111	0.1677662	0.12171683	-0.050007872	-0.13844506	-0.12785709	-0.32585827	-0.06729242	-0.18824497	-0.07831563	-0.003292382	-0.07814138	0.16127707	-0.2401452	-0.25458956	-0.10774058	0.15774621	-0.20775664	-0.25593594	-0.04783117	-0.041902035	-0.21756588	0.09190284	-0.17083271	-0.19474395	-0.031745758	0.023333743	0.030161086	-0.2793713	0.09857943	-0.09934898	-0.054378625	0.13223557	0.028355034	0.0143743185	0.025064558	-0.19248447	0.04974498	0.13796012	-0.14207718	0.008812314	-0.060079344	-0.09691461	-0.17671624	-0.21792984	0.17238688	-0.19140154	-0.14751126	0.21119714	0.21393274	-0.20298266	0.11780867	-0.0839841	0.11986247	-0.054782536	-0.08720913	0.08064532	0.071858495	-0.0589216	-0.16939989	0.120390326	0.08660593	-0.045670513	0.1451188	0.1470786	-0.06369797	0.22608054	0.12137605	0.15613374	-0.1284779	-0.15183285	-0.025450397	-0.22314754	0.10601334	0.122330375	0.07522514	-0.23608088	-0.034284785	-0.10907232	-0.17185293	0.11163166	0.12616588	-0.18639417	0.10713574	0.020760437	-0.023741793	-0.10740818	-0.060835756	-0.074374974	-0.1948298	-0.023698347	-0.0025599196	-0.08517904	0.17893046	0.08814649	-0.041062865	0.0030214614	0.13917165	0.10896928	0.15781942	0.04733731	0.17097269	0.06667768	0.02873675	-0.31033227	0.19979618	-0.109500274	0.12065686	-0.1482957	-0.093537495	0.027730267	-0.16822614	0.13988322	-0.045570914	0.25378197	0.15884972	0.12977599	-0.121126756	-0.20518412	-0.1359937	0.08822334	0.19335851	0.13071278	-0.08214641	-0.13418363	-0.09693989	0.059935544	-0.17561355	-0.0078084543	-0.28491253	0.1919712	0.0082494635	-0.059976652	0.0050185705	0.15934558	-0.027580624	0.08009381	0.017053414	0.11838261	0.005475396	0.043984015	-0.05464407	-0.025724646	0.004552326	-0.18320732	-0.38101336	-0.04130574	0.060188886	0.1736072	0.15324482	-0.04505624	-0.0062730163	-0.08074889	-0.027263334	0.03191531	0.019133832	-0.007870932	0.15305917	-0.032767918	0.076441005	-0.044837087	-0.10770027	0.10344527	-0.29576835	-0.03050521	0.04050482	-0.25495017	0.095713854	-0.15091443	-0.20223607	-0.1151171	-0.11233034	-0.025703015	0.06976696	0.024563454	-0.053578004	0.114190295	0.16735572	0.13090718	-0.039202753	0.070629045	0.14384428	0.08109957	0.12486355	-0.051552676	0.120258324	-0.013235389	0.008261173	-0.1717914	Smooth-muscle-cells
Epithelial-cell	0.043382533	0.0032448967	-0.06983329	0.019254817	-0.030861007	0.04208989	-0.05380756	-0.055278342	0.013128347	-0.07516994	-0.05413423	-0.0659577	0.056796614	-0.02968884	-0.013863653	0.01915612	-0.0124163665	-0.03213593	0.03239759	-0.0015789701	0.0075772135	-0.06843022	-0.039359316	-0.005846992	-0.10559371	0.012493562	0.06475409	0.06227578	-0.019168014	-0.039294828	0.05298144	0.010162482	0.010921279	0.024811275	-0.09869783	-0.11209822	-0.007403056	-0.0146735925	-0.01593902	-0.03509701	-0.07784183	-0.07243885	-0.030240795	-0.053322624	-0.018265877	0.06537969	-0.03131817	-0.04549449	-0.04982737	-0.05422668	0.016516974	-0.05687213	-0.048110027	-0.0072543207	-0.043918308	-0.064640135	-0.006264835	-0.0886268	0.033923388	-0.004050352	0.0438259	-0.029504677	-4.731858e-05	0.001620118	0.054393165	0.0019045412	0.0494031	0.010790109	0.038115684	0.040650047	-0.00742345	-0.051864285	0.025541838	0.014221809	0.14635748	-0.095773585	-0.011694229	-0.013824369	0.059366465	-0.073317975	0.07871951	-0.075013526	0.014714184	-0.09186364	-0.008156101	0.07560569	0.106552824	-0.0024560671	0.01171344	-0.0252737	0.036303934	0.046134017	-0.029070202	0.0005959461	0.05858232	0.023124624	0.0117027005	0.000508021	-0.078103	0.042732216	-0.05090232	0.06565707	-0.07489197	0.04476533	-0.012531466	0.07804156	-0.024850285	0.02962315	-0.009173709	0.021511307	0.059665382	-0.022631777	0.12747556	0.025154097	0.008106755	-0.13038456	0.07772314	-0.03695995	-0.050300278	-0.025205437	-0.056463543	0.04850368	0.019771999	-0.074656956	-0.033416584	0.14784914	0.037850503	0.052323133	0.006436169	-0.009865502	0.017004017	0.0728774	-0.034057744	0.067068204	0.053696826	-0.027823448	-0.09287183	-0.040141482	0.00026353833	0.037115656	-0.022621334	-0.040680707	0.006510885	-0.031199114	0.02995244	-0.04701281	-0.010300032	0.015726333	0.07957877	-0.035604108	-0.034453142	0.036535233	-0.036420003	0.008771405	-0.028338935	0.0098657375	-0.038442817	0.012124386	0.017387388	0.027095888	0.0032187516	-0.07286984	-0.091910765	-0.006432242	-0.0349952	-0.0346786	0.0017698695	0.06476747	-0.004016036	-0.03619281	-0.0242137	-0.010727822	-0.022978613	-0.0880653	-0.10305891	0.025762698	-0.019391946	-0.0022233888	0.03999309	-0.0056724604	0.0036632607	4.548987e-05	-0.08341759	-0.07822241	0.032626458	0.00027169104	0.014713805	-0.030671606	-0.050043117	0.027945433	0.006650867	-0.0007108382	0.07653734	0.06589329	0.11163931	-0.054093234	-0.030910196	0.053404275	-0.04079732	0.02312679	Epithelial-cells
epithelial-cells	0.08081477	0.03698848	-0.20274258	0.057351008	0.06543507	-0.0017452147	-0.025945578	-0.07587128	-0.0033337804	-0.21856762	-0.044364396	0.05753661	0.22602744	-0.06444211	0.037395738	0.0691186	-0.056538362	-0.08999459	0.004003006	0.014634317	-0.0804666	-0.15823102	-0.063886955	-0.077630594	-0.034977827	-0.12353489	-0.03974553	0.011619148	-0.055435956	-0.08732594	0.07348074	0.09169504	-0.08114993	0.08185379	0.016835188	-0.12563495	0.092402115	-0.31095985	0.0285562	-0.047788955	0.08149621	-0.099046096	-0.039261397	0.15303382	0.09912713	-0.047840755	0.07724255	-0.07491625	-0.061029162	-0.08193444	0.03746375	-0.08720244	-0.05685921	0.020220002	-0.08440528	0.030691084	0.13602403	0.025455179	-0.0150873	-0.010231314	0.010172128	-0.074008465	0.03516995	0.14825809	-0.10295686	0.08265892	0.059895582	-0.015360789	0.023746375	-0.035086352	-0.16698234	0.06985067	0.12724681	0.13348177	0.14448981	0.09570994	0.011842177	0.12900855	0.03157923	-0.06657398	-0.03543085	0.08587822	0.0728116	-0.036988094	0.11998195	0.063598074	0.04170498	0.083843425	0.018455714	0.11861249	-0.11437072	0.13180552	0.11038608	-0.06732241	0.01825533	0.10616957	0.06680986	0.059501197	0.16969903	0.11926996	-0.09990617	0.047068827	-0.055985026	-0.053315025	0.07851516	0.17611536	-0.045760006	0.018343993	0.088102095	0.056605034	0.023665847	-0.054088008	0.060240448	0.14529811	0.1194881	-0.027837548	0.07615107	0.13280246	0.078847736	-0.08958792	-0.10513397	0.096660264	-0.029906537	0.02613372	-0.05083772	0.14799982	0.06047548	-0.10241804	-0.07031413	-0.06310412	-0.16353282	0.025263581	-0.10268911	0.26474443	-0.0527357	0.045209344	-0.049514163	-0.20260812	0.09845336	0.024448551	-0.068918996	-0.09039341	-0.08474904	0.040822946	0.062808946	0.034911394	-0.014238938	0.06263716	0.014994784	-0.012313381	-0.06125418	0.093840465	-0.029598495	-0.09699727	-0.07755078	-0.042268764	-0.070447356	-0.13566253	0.13535199	0.042130355	0.11488997	0.023129845	-0.26855958	-0.039833184	0.05871762	-0.0044036126	0.004521695	-0.0591655	0.0014624426	-0.18553007	0.093415394	-0.03848289	-0.17304343	-0.031907897	-0.23085713	0.17432821	-0.011268972	0.045398954	0.11623979	0.015841063	0.08427799	-0.08597026	-0.082052134	-0.005238015	-0.140559	-0.10072106	0.029035611	-0.1368369	0.08410453	-0.030921811	-0.040768363	0.099311724	0.087283194	0.09794392	0.07239401	-0.008789907	-0.09102981	0.09526456	-0.010256701	0.013685569	Epithelial-cells
epithelial-cell	0.14835122	-0.08742495	-0.26796877	0.044066675	0.135006	0.094618306	0.040939495	-0.33834872	0.062479794	-0.27151912	0.1463598	-0.0052981214	0.32746547	-0.00541396	0.017804774	-0.104253784	-0.1436659	-0.4982191	0.05568569	-0.08755943	0.113360226	0.053938977	-0.34375453	-0.018119687	0.22197637	0.08651997	0.015454164	0.16688862	-0.4304997	-0.17967182	-0.004841765	0.16320735	0.044316676	0.49571714	-0.2362782	-0.49891376	0.029467056	-0.36127385	0.063417606	-0.13575228	-0.065954246	-0.33243996	0.09723735	-0.04218883	-0.16006352	0.1408388	0.15526077	-0.026107198	-0.006119381	-0.18736805	-0.1422773	-0.1276697	-0.13303746	-0.038805056	-0.14482163	-0.08257611	0.39148498	0.06850255	-0.08106424	-0.019856649	0.081746064	-0.20879409	-0.07534126	0.022769982	0.27254656	-0.12488915	0.05344979	0.078536786	0.09459001	0.10908458	-0.1321787	-0.33700645	-0.08784921	-0.021630548	0.31788486	0.009357655	-0.0992405	0.3342641	0.099321865	-0.2116301	-0.04205631	-0.097795755	0.121509835	-0.16683245	0.20140927	0.2607373	0.098116755	0.025848234	-0.0021827666	0.0869707	-0.03836591	0.12123254	0.20722574	-0.20267865	0.00034169678	-0.100958094	-0.0011054273	-0.094172046	0.12931725	-0.12792796	-0.227864	-0.13246845	-0.27476817	0.0037124448	0.11000739	0.20302376	0.022956675	0.052813098	0.013777365	0.017472917	-0.15398274	0.24185744	0.0724615	0.25651136	0.19093186	-0.20160447	0.38111973	-0.3779651	0.37604764	-0.076734014	-0.07075236	0.10664076	0.14481063	0.101731665	-0.0852783	0.24825528	0.21980971	0.19135961	-0.23677146	-0.048592605	-0.11583857	0.1051776	0.011476214	0.036117904	-0.16204973	-0.27222893	-0.14578688	-0.08026123	-0.010919947	0.12276314	0.07191657	-0.096904986	-0.23774435	-0.09021128	0.08529144	-0.17818113	-0.022022305	0.23469076	-0.04690859	-0.0103248665	-0.109390624	0.07052009	-0.14727885	-0.25078923	-0.050107285	-0.20572756	-0.4538179	-0.3200054	0.044949666	0.15281315	0.098941274	-0.10059093	-0.16997719	-0.024467973	0.017536521	-0.09997363	-0.32758695	-0.008315776	0.27470115	-0.23376614	0.030907141	-0.16073178	-0.429566	-0.08893688	-0.22400625	0.14495763	0.013290486	-0.15693983	0.34012264	0.09809575	0.19216436	0.07259425	-0.123514906	-0.2526518	-0.15438247	0.12702987	-0.101141095	-0.20030525	0.24662304	-0.11303257	0.19938873	-0.08913772	0.38731572	0.22733226	0.03809448	-0.23117357	-0.16901897	0.15464973	0.043894432	0.001520944	Epithelial-cells
T-Cells	-0.049043413	-0.16626465	-0.41379717	-0.17846799	0.19450924	0.33896303	-0.2689871	0.41231027	0.05976161	0.0036277615	-0.19555718	0.10708759	0.43329415	0.53385353	0.03760894	0.17956954	-0.045760628	-0.30720326	-0.0040433425	-0.08652177	0.18106575	-0.42532635	0.34161025	0.07455525	-0.23145424	-0.38065833	-0.14982301	0.24328828	-0.20189673	-0.04083411	0.30317563	-0.24727595	0.10336675	0.14865994	-0.3190754	0.0962485	0.18190761	-0.46448308	-0.1688846	0.042297453	0.3491753	-0.49924573	-0.22624888	0.20151195	0.08763255	-0.66866106	-0.30142793	-0.11523402	-0.03094857	0.09340935	0.32965645	-0.17425351	0.20222831	-0.18325341	0.10442075	-0.07963107	-0.311502	0.36815217	0.1599895	0.15984906	0.08707464	-0.18520804	0.08718994	0.31368846	0.018988257	0.42166746	0.14100036	-0.07392418	-0.45086536	0.1461297	-0.021806668	-0.054514863	0.44233412	-0.07012658	0.5394521	0.17075226	-0.5851379	0.10046911	-0.006981277	0.30307862	-0.3145308	0.113462724	0.3939324	-0.3645261	-0.20944662	-0.054553118	-0.16312419	0.25071403	-0.20692064	0.08396006	-0.27374047	0.54665613	0.22702946	0.21852872	-0.034874167	-0.20313407	-0.019583462	0.10723891	-0.32964015	0.12932692	0.123062275	0.3442642	0.426496	0.57053673	-0.108325206	0.18794757	0.11209608	-0.7320327	-0.12168701	-0.17484026	0.10909288	-0.09000233	-0.016680308	-0.1424184	-0.07539095	-0.27434444	0.03528594	-0.021136783	0.17873293	-0.28733417	0.01904778	-0.010315024	-0.02852102	0.093824394	-0.26882344	0.42274833	0.56396556	-0.04910888	0.0075746514	0.35216737	-0.25419995	0.38267335	-0.078949995	0.51889354	-0.32751766	-0.31896478	0.12226992	0.18229271	-0.22997959	0.41100276	-0.1601507	0.059488278	-0.13207386	0.2600773	0.3376113	-0.18200143	-0.19062248	0.18686008	-0.39399624	-0.14435695	0.067477785	0.18703495	-0.3149766	-0.4821857	-0.1129245	0.13237695	-0.13271904	-0.2217755	-0.116354674	0.16088793	-0.11310773	-0.14274858	-0.09937361	0.118496306	0.40809858	-0.112506166	0.13000518	-0.21604347	0.20761822	0.26873726	0.02565302	0.43556988	-0.2878116	-0.42583546	0.05306997	-0.15411164	-0.14609835	0.24342994	-0.2562578	-0.15056744	0.37173238	-0.12834348	0.019212767	-0.20366699	0.3625969	0.09899238	-0.28649592	-0.041546855	-0.28779396	-0.21844399	-0.16376728	-0.18343207	0.19003947	0.704365	0.43776444	0.23482004	-0.17796512	-0.059521288	-0.20636463	0.17994358	T-cells
T-CELLS	0.040263005	-0.0032465179	0.015158172	-0.06537548	-0.1131065	-0.032899298	-0.05746597	-0.033165567	0.01693018	-0.08185844	-0.0358049	-0.060860425	-0.030976199	0.1262179	0.05617065	0.08805732	-0.03608334	-0.053265292	-0.08199367	-0.032681294	0.038605634	-0.107640475	0.05983994	0.030208612	0.02800108	-0.158744	-0.12455713	0.055571776	0.046735775	-0.110805735	0.021719348	-0.008036891	0.14533007	0.114844546	-0.08564681	0.0840065	-0.06816022	0.06962052	0.0012953851	0.014836927	-0.08391715	-0.007160485	0.101289384	0.110210225	0.061514024	0.11616904	-0.040940713	-0.033143032	0.14566989	0.047083333	-0.01653492	-0.03363755	0.052664775	-0.019115131	-0.064590305	-0.052291144	-0.07938392	0.12259675	-0.10278391	0.03635325	-0.12812437	0.011667696	-0.09371052	0.04906757	-0.10019838	-0.12007401	-0.12903717	-0.10438256	-0.054766014	0.15669882	-0.07757344	-0.0876546	0.032649763	-0.04005758	0.18121856	0.06905344	-0.13228719	-0.062345292	0.06222586	0.114028685	-0.0173156	0.065041855	0.057218958	-0.12767197	0.0012512367	0.06777682	-0.0941033	0.059948403	-0.010330776	0.07022118	0.032590948	0.10487713	-0.108002834	0.04900581	-0.025456201	-0.025736945	-0.08808842	0.03084755	0.042250816	-0.010402923	-0.10432072	0.0025515647	-0.04293521	0.016346337	-0.08379858	-0.051577393	0.06650101	-0.22469486	0.046647716	-0.038067777	-0.009653329	0.013908295	0.046219096	-6.3032596e-05	0.05139243	0.1291716	-0.08083593	0.034900673	0.028777055	0.015519805	0.033473212	-0.068944246	0.170008	-0.13074543	-0.015737819	-0.01966345	-0.010424261	0.03290945	-0.014429787	0.17098671	-0.059611514	0.029283449	-0.071382515	-0.12748681	-0.0057877004	0.004634195	0.075970724	-0.018130947	-0.052855138	0.10118994	0.034340464	-0.095487684	0.0024127166	0.00772816	-0.024103343	-0.047700923	0.1273341	0.12451646	0.008086214	0.05507613	0.028238187	-0.0075370134	0.012824659	0.12376136	-0.053390533	0.15833001	0.028319076	0.032534838	-0.028739018	0.009761144	0.013621028	0.17071502	-0.0005603245	0.041472144	-0.06996226	0.1087886	-0.013178787	-0.12632509	0.06876451	-0.21312393	-0.15417337	-0.06490343	0.07962797	0.0032920402	0.0042790887	-0.0951608	-0.005537929	0.11542518	-0.145153	0.03973291	-0.017150223	-0.09634885	0.01848295	0.12253144	0.16420136	0.022694144	-0.12481406	-0.07783628	-0.019921094	0.04116827	-0.0062897797	-0.030063143	0.0912985	-0.04463326	-0.05654864	0.14263569	-0.01627584	-0.130492	0.025272435	0.0013245235	T-cells
T-cell	0.06743153	0.21697727	-0.12564246	-0.11217149	0.103802755	0.34130105	-0.044448644	0.33193764	-0.45457453	-0.27396208	0.17100708	-0.2816996	0.2596754	0.27006802	-0.1256297	0.15984836	-0.0281727	-0.45138744	-0.09258268	0.047726147	0.052301984	-0.4588461	-0.16574897	-0.101402625	0.024887143	-0.25070563	-0.30549714	-0.04654179	-0.0050245724	-0.34843642	0.16590329	-0.3886372	-0.252926	-0.01608207	-0.27414283	-0.50814694	0.10257616	-0.2777593	-0.086663075	-0.14738113	-0.21655951	0.25909263	0.089722894	-0.050410725	0.11126414	-0.7385165	-0.074446894	0.16753128	-0.19190939	0.15027632	0.16043983	0.32491672	0.26533327	0.0080694845	-0.17277071	0.08119904	0.187007	0.26975212	0.114042155	0.31293815	0.052271426	-0.2164636	0.274191	0.061853986	0.46588826	0.302193	0.5851285	0.19279972	0.15125306	0.061632402	-0.27164352	-0.015481317	-0.2860843	0.040952254	0.09885233	0.22278616	-0.45762408	0.11718321	-0.29896992	0.1834207	-0.11606638	0.40682173	0.05778016	0.047199186	-0.26439276	-0.024814364	-0.32290146	0.14045495	-0.03581908	-0.35910955	-0.04737096	0.00953367	0.41659772	0.099365465	0.29170325	0.046385363	0.050202165	0.11417468	0.13765486	-0.37194434	0.11823139	0.19685456	0.17529745	0.53323644	0.035405815	0.031285807	-0.39070666	0.15256873	-0.07792442	-0.16391526	0.1234766	-0.1586155	-0.096943244	-0.15536235	-0.2046095	-0.113411814	0.2672343	0.20261818	0.31957915	-0.3423367	-0.16740125	-0.114693135	0.09270555	-0.15545696	-0.21120034	0.22915731	0.3517329	-0.1680532	-0.2599119	-0.13885733	-0.065611914	0.3129158	0.19394436	0.09662997	-0.26905712	-0.24524187	-0.009865543	-0.23709376	-0.36215872	0.21319833	0.040573586	0.16350326	0.046732243	0.1946821	-0.009248121	-0.0041775224	0.08525076	-0.015853163	-0.25141087	0.084696956	0.10545499	-0.14592212	-0.17342535	0.22188255	0.087225094	0.062141564	-0.124469094	-0.54671216	-0.14373277	0.0037083896	-0.23411097	-0.0362913	-0.42995968	0.0936415	0.060696587	-0.019445036	-0.116810545	-0.21125264	0.11464686	0.09082715	0.13403288	-0.34122637	-0.17643484	-0.089233294	0.049665075	-0.10956987	-0.0581442	0.24204469	-0.053757265	-0.1417676	0.43170217	0.080656014	-0.056002855	-0.3969949	0.35242328	0.08633343	-0.31349468	-0.40976945	0.058928892	-0.3182715	-0.37294525	-0.2362498	0.23273419	0.47877055	0.05560469	0.039798383	-0.19336508	0.20414692	0.22211188	0.13998738	T-cells
t-cells	0.09176788	0.2877715	-0.09318713	0.035996452	0.29298404	0.24700803	-0.078288645	0.049513415	0.048890065	0.05913507	0.20830597	0.19649167	0.1082928	0.009442667	-0.27144897	0.13790163	-0.47630572	-0.29528686	-0.052379746	-0.18342423	-0.05648685	0.023706427	0.08629586	-0.10886117	0.015786048	-0.23874488	-0.28724974	0.05927825	0.084197134	-0.14337337	0.28246263	0.1443146	0.096068844	-0.17684434	-0.25383514	-0.21062076	0.03593885	-0.0046916385	-0.10483448	0.005972555	0.28912625	-0.32288808	-0.15935743	0.089331366	0.12678969	0.1502517	-0.24254178	-0.060583316	-0.00417205	0.09569848	-0.02033875	-0.050358966	-0.0023775038	0.09689015	0.06835054	0.16541512	0.028216267	0.12689412	0.035622243	0.102203816	-0.09447591	0.103813276	0.0067569814	0.24791212	0.0137094725	0.14216079	0.028904129	-0.07914616	0.064819716	-0.19154511	-0.33272007	-0.083946645	0.09489534	0.25175828	0.25828037	0.053701475	-0.37695667	0.034309644	0.11110572	0.01296291	0.07922846	-0.12244469	0.08775934	-0.0844069	-0.059593037	-0.0056982785	-0.0011612899	-0.08076428	-0.052056056	-0.13846718	0.23463477	0.421195	0.13050239	0.17749757	0.087643385	0.1258101	-0.19215974	0.02074888	-0.22356156	0.0007236432	-0.14752501	0.16459306	0.20581135	0.21569276	0.058569364	0.006139044	-0.097092465	0.09760154	0.11292134	-0.29310822	-0.053506285	0.087639466	0.31450793	0.21603556	0.06345685	0.123069875	-0.004620707	0.016107991	0.024002073	-0.22469084	-0.35629487	-0.033402357	0.074540965	-0.25449738	-0.28245208	0.025281971	0.13026185	0.098539606	-0.20379059	-0.12787336	-0.21240115	-0.12167132	0.23423107	0.07778261	-0.17656922	-0.05219749	0.15692966	-0.10306467	-0.28228506	0.17692234	0.00931673	0.35859516	-0.05034732	0.25146073	-0.16359662	-0.14491975	0.05746091	0.25736693	-0.16755128	0.01415274	0.30262288	0.22469121	0.053727537	0.26659036	-0.18756491	0.087279856	-0.24029568	-0.0702851	0.18335715	0.088216424	-0.022881214	-0.06175496	0.042311255	-0.055396713	0.06293295	-0.34353748	-0.037235714	0.06668023	0.047552384	-0.17708896	-0.03247272	-0.2035552	-0.5456635	-0.11409282	-0.20796286	0.18075976	-0.23351687	-0.10411681	-0.08659719	0.073481545	0.014909986	0.01158876	-0.02682228	-0.36163774	0.15275267	-0.06399154	-0.18167566	-0.19517037	-0.21577664	-0.1856755	-0.08961539	0.053796824	-0.03538784	0.30827236	0.14238666	0.28562278	0.005943028	0.29648823	-0.010372693	0.16812974	T-cells
T-Cell	-0.11089541	-0.04600958	-0.25122055	-0.02073092	0.26918268	0.40873328	-0.30610186	0.27749848	-0.07671502	-0.08832059	-0.087516345	0.07574549	0.26866996	0.6842686	0.026534608	-0.16365758	-0.20176747	-0.26683238	0.2039366	-0.54366124	0.008508688	-0.28253698	0.47409913	0.26214364	-0.12729423	-0.19964603	-0.05898634	0.12687428	-0.14188105	-0.14622317	0.267933	-0.3534462	0.052154437	0.47739965	-0.3779741	0.1188302	0.27868629	-0.60165375	-0.25262675	0.11036812	0.30319574	-0.48291615	-0.35272264	0.031447027	0.14505652	-0.6667706	-0.34681812	0.010320721	-0.0023852193	0.2611993	0.5431834	0.014148846	0.29587498	-0.42085594	0.24494623	-0.14993912	-0.06333323	0.10903485	-0.06764174	0.20432548	0.071072675	-0.26207674	0.0021854998	0.26649678	0.15920965	0.18924333	0.37350023	0.01663504	-0.5009999	0.3250267	0.31644845	-0.041658167	0.17041366	-0.17167549	0.50043404	0.06814806	-0.77638716	0.041798282	0.009365808	0.3795279	-0.3687931	0.1782691	0.45368445	-0.21657427	-0.38796046	-0.16408451	-0.19889963	0.5968579	-0.1621012	0.1773282	-0.3419858	0.34990367	0.14159325	0.2957833	-0.047559083	-0.41263682	0.2100183	-0.05738671	-0.16081555	-0.24481274	0.11474227	0.27536762	0.5394928	0.39744297	-0.15903217	0.17286345	0.05329725	-0.45331773	-0.14506987	-0.17110617	0.15727246	-0.08571082	-0.18177241	-0.21952981	0.26398006	-0.019359441	0.11335179	0.0712208	0.247037	-0.17176776	0.054513372	-0.23207109	0.025799144	-0.07898894	-0.52814317	0.3410599	0.6624842	-0.2315104	0.01767095	0.49474552	-0.1944823	0.1845668	-0.553461	0.47829697	-0.29683462	-0.32739642	0.035011932	0.13952477	-0.19402224	0.54960537	-0.21206605	-0.13440831	0.17850286	0.18855715	0.4905414	0.05110367	-0.15161002	0.1011307	-0.1520843	0.013590853	0.00092133344	0.27449423	-0.36403582	-0.2081542	-0.15037066	0.17833818	-0.19241512	-0.2217025	-0.20046632	0.12686409	-0.11229775	-0.15407811	-0.40467042	0.09765052	0.51227427	0.031464342	0.21131235	-0.40206045	0.2706406	0.18997124	0.1660621	0.41544914	-0.3467811	-0.29508385	0.0026409654	-0.21938075	-0.10770365	0.121811435	-0.03697528	-0.13966559	0.47401944	-0.3846584	0.25751275	-0.099387	0.3316336	-0.049007114	-0.066283226	0.015293705	-0.14347297	-0.35921976	-0.1243133	-0.28074056	0.2711393	0.44368702	0.2773639	0.076778926	-0.165825	-0.09955482	-0.25685188	0.16722809	T-cells
T-cells	0.16651513	0.15343364	0.012602452	-0.0033651022	0.26026022	0.57380444	-0.24228393	0.594348	-0.18903093	-0.11677433	-0.026551204	0.008135681	0.40574497	0.30264992	-0.27975035	0.3660188	0.05508135	-0.5661446	-0.17894651	0.19656807	0.14015967	-0.44127625	-0.27420336	-0.0728618	-0.017816687	-0.24968953	-0.3329094	-0.24105597	-0.20052667	-0.2644361	0.1773476	-0.058522537	-0.06934459	-0.3319606	0.08665328	-0.34111884	0.13496277	0.20444165	-0.20635916	-0.11927865	-0.118028305	0.1857761	0.13172267	0.06350961	0.28263983	-0.664372	-0.34098345	-0.3075174	-0.2678557	-0.092854954	-0.08794238	0.18342334	0.43461183	0.1031239	-0.04772826	0.18141586	0.27283105	0.45884493	-0.010446843	0.30802658	-0.13472901	-0.08071994	0.16616853	0.19848143	0.23274437	0.503827	0.27971327	0.26252672	0.20051244	-0.26497173	-0.20889977	-0.2613436	0.04607912	0.097979784	0.10305232	0.29837406	-0.43515337	0.050796404	-0.25553203	0.17364436	-0.16049002	0.3242182	0.10447338	0.04444896	-0.2062872	0.17832553	-0.19889098	-0.0027875907	-0.082878135	-0.45243454	-0.098000914	0.30871332	0.17490576	-0.035749562	0.3737012	-0.032638073	-0.008529037	0.32390153	0.06595101	-0.19758488	0.03174	0.2679649	0.1949677	0.50713617	0.06586486	0.15313226	-0.24280994	-0.10986344	-0.032475106	-0.051909298	0.029583465	-0.15518014	0.10986859	0.23722772	-0.33153605	-0.15510476	0.08114906	0.035064228	0.12970774	-0.22273406	-0.24354997	-0.12186415	-0.0158857	-0.043275468	-0.05216813	0.19559316	0.41605112	-0.15034157	-0.17938237	0.04092099	-0.008445587	0.3380427	0.32099202	0.050757013	0.1139869	-0.25783196	-0.197729	-0.09059138	-0.18270998	0.40408757	0.1504001	0.28637573	-0.13651684	0.33161324	0.00050718663	-0.067452684	-0.011546346	0.04674643	-0.40681472	0.05709151	0.04079397	-0.0901946	-0.1370128	0.27459496	0.036899433	-0.24076882	-0.11355494	-0.5183956	-0.021960557	0.11867991	-0.1821886	0.025365205	-0.25941464	0.15564632	0.23991118	-0.34948424	-0.055403315	-0.17962109	-0.059556674	0.19040716	-0.20216116	-0.21686544	-0.028298415	-0.20625968	-0.04461729	-0.012944363	-0.04197564	0.012420663	-0.29547915	0.16458865	0.37640494	-0.06932718	-0.24524045	-0.4064309	0.39463767	0.080720924	-0.4732912	-0.29642776	-0.16056319	-0.41637868	-0.3760674	-0.1095237	-0.0014742707	0.5824117	0.1992924	0.40401688	-0.19241291	0.27547982	0.16732317	-0.018726999	T-cells
