index	principal component 1	principal component 2	origin
Hepatoblast	0.16658294776832502	-0.2692316803919804	Hepatoblasts
hepatoblasts	-0.9868204363236631	-0.5917227412177279	Hepatoblasts
Hepatoblasts	-0.13323264349658845	0.15066018632855938	Hepatoblasts
hepatoblast	-0.7468248901456341	-0.8115050274623654	Hepatoblasts
B-CELL	1.2356123533745664	-0.16918328913452624	B-cells
B-cell	-0.38670397479460333	-0.8057040117488239	B-cells
B-Cell	-0.037348207330950324	1.553797749617932	B-cells
B-Cells	-0.02729696516903364	1.0582671217451016	B-cells
b-cells	-0.19829345768916656	-0.5623934270953302	B-cells
b-cell	-0.026472836895534608	-0.7618820036368963	B-cells
B-cells	-0.5356153570967216	-0.3871559116576289	B-cells
Germ-Cell	0.2705602451887684	0.3031879707152545	Germ-cells
germ-cells	-0.17677420282761871	-0.49846712864096654	Germ-cells
germ-cell	-0.1730925675661176	-0.8604094455761453	Germ-cells
Germ-cell	0.02979438098770725	-0.4156154066536676	Germ-cells
Delta-cells	0.15347844676341665	-0.4742932904779285	Delta-cells
delta-cell	-0.5797582735558569	-1.164546488414645	Delta-cells
delta-cells	-0.5013761988324308	-0.9864100680744976	Delta-cells
Myocytes	-0.38938451257614515	2.1701666128824626	Myocytes
myocytes	-0.8358813879636791	-0.43168737735449547	Myocytes
MYOCYTE	0.6945065290985456	-0.3155267463305504	Myocytes
Myocyte	-0.9332329036218132	0.6604276247514077	Myocytes
myocyte	-0.8945405029171386	-0.8129828914313852	Myocytes
Pericytes	-0.8595988713242528	1.1628101103736694	Pericytes
pericyte	-1.0860665880912836	-0.4192203138389849	Pericytes
PERICYTES	0.8492566187382348	-0.32234504938225905	Pericytes
Pericyte	-0.5851775400964526	0.6834165214566958	Pericytes
pericytes	-1.0109829835186177	-0.18404941900235422	Pericytes
RETICULOCYTE	2.7864536941047295	0.004930182610674102	Reticulocytes
RETICULOCYTES	3.2368415390202663	0.006909866127033176	Reticulocytes
reticulocyte	0.04530916379707243	-0.9808728480062392	Reticulocytes
Reticulocytes	-0.1811346870468977	0.33538377884320936	Reticulocytes
Reticulocyte	0.3954624843155301	0.42528394599193003	Reticulocytes
reticulocytes	-0.44980028933137056	-0.6115498564600648	Reticulocytes
adipocytes	-1.1033989646465054	-0.5970566191400936	Adipocytes
Adipocytes	-0.7484366609521812	1.7631390665743645	Adipocytes
adipocyte	-0.9981018989937246	-1.0746947450576443	Adipocytes
ADIPOCYTES	0.8584755885819165	-0.2188410154730689	Adipocytes
Adipocyte	-0.708732456889148	0.874341129150616	Adipocytes
ADIPOCYTE	0.9529073885382672	-0.2461453268322854	Adipocytes
platelets	-0.5471360671346955	-0.32666733932424347	Platelets
platelet	-0.38808663048766767	-0.6803929195872438	Platelets
Platelets	-0.4868835454466471	1.1114153467476107	Platelets
PLATELET	3.298234209224138	0.6006752109949662	Platelets
Platelet	-0.35366293403856985	0.6408752322398004	Platelets
PLATELETS	4.0333035167287035	0.517714389428187	Platelets
nuocytes	-0.5659820517600784	-0.1688893120949928	Nuocytes
Nuocytes	0.016438865569307914	-0.26698447556222055	Nuocytes
Nuocyte	0.17748093289445985	-0.3378529628759701	Nuocytes
nuocyte	-0.33491770878709265	-0.31707837731972344	Nuocytes
interneurons	-0.43860082638327225	-0.6819411770117199	Interneurons
interneuron	-0.3695516375296519	-0.9059155294164065	Interneurons
Interneuron	0.06179086593818426	0.8897908574563683	Interneurons
INTERNEURONS	2.2169273238075395	-0.19046997933931922	Interneurons
INTERNEURON	0.5491007990056579	-0.37507658040955	Interneurons
Interneurons	-0.27120042060230326	1.367349742795668	Interneurons
EOSINOPHILS	3.032832841414801	0.047057375625278015	Eosinophils
eosinophils	-0.8317089654230982	-0.1034886552912533	Eosinophils
eosinophil	-0.5817177511646155	-0.5046075791251714	Eosinophils
Eosinophil	-0.754570366273964	0.9344041702990108	Eosinophils
EOSINOPHIL	2.746440670349778	0.08351572240432731	Eosinophils
Eosinophils	-0.7344209979068026	1.4626788434853963	Eosinophils
NK-Cells	0.20434619051379668	-0.3538699411891009	NK-cells
NK-cell	-0.40419844910897684	-0.443273805412193	NK-cells
NK-cells	-0.548345498274135	-0.05987577652076349	NK-cells
NK-Cell	0.2522392586873676	0.36314147852228557	NK-cells
hemangioblasts	-0.7630747310247109	-0.48087946181805835	Hemangioblasts
