index	principal component 1	principal component 2	origin
Hepatoblast	-0.25799263	-0.52612257	Hepatoblasts
hepatoblasts	11.487843	8.04063	Hepatoblasts
Hepatoblasts	0.49036	3.2902453	Hepatoblasts
hepatoblast	11.471753	8.024669	Hepatoblasts
B-CELL	3.26134	-12.390669	B-cells
B-cell	-8.915439	-3.3046086	B-cells
B-Cell	6.855071	1.4754395	B-cells
B-Cells	4.400474	2.4857388	B-cells
b-cells	0.07418683	-4.469843	B-cells
b-cell	-7.5325346	-3.7980843	B-cells
B-cells	-10.758448	-1.9880252	B-cells
Germ-Cell	2.3585613	0.20650207	Germ-cells
germ-cells	-1.3944546	-4.5378065	Germ-cells
germ-cell	-0.73140574	-7.0426474	Germ-cells
Germ-cell	-1.2022814	-6.5623174	Germ-cells
Delta-cells	-0.8581297	-2.4225664	Delta-cells
delta-cell	-18.112152	-0.21848416	Delta-cells
delta-cells	-17.92244	-0.24192305	Delta-cells
Myocytes	-7.89287	16.529615	Myocytes
myocytes	8.17203	11.865596	Myocytes
MYOCYTE	2.4121697	-8.117236	Myocytes
Myocyte	7.417791	14.586093	Myocytes
myocyte	8.085227	13.095843	Myocytes
Pericytes	-5.0758743	11.350544	Pericytes
pericyte	-2.6903472	8.857834	Pericytes
PERICYTES	2.4241977	-9.518625	Pericytes
Pericyte	-2.10949	8.497274	Pericytes
pericytes	-3.1004584	9.431165	Pericytes
RETICULOCYTE	5.314976	-19.55264	Reticulocytes
RETICULOCYTES	6.26042	-21.154438	Reticulocytes
reticulocyte	12.302868	-1.8659555	Reticulocytes
Reticulocytes	10.320833	0.19013436	Reticulocytes
Reticulocyte	12.4855585	-2.2886224	Reticulocytes
reticulocytes	11.771472	-0.71216726	Reticulocytes
adipocytes	8.557289	-2.62712	Adipocytes
Adipocytes	-8.032881	14.363227	Adipocytes
adipocyte	8.490335	-2.3278046	Adipocytes
ADIPOCYTES	3.1533453	-10.024403	Adipocytes
Adipocyte	8.31679	-1.6354101	Adipocytes
ADIPOCYTE	3.982357	-9.814005	Adipocytes
platelets	10.670816	-5.494323	Platelets
platelet	10.792941	-6.0434904	Platelets
Platelets	-12.559107	4.52446	Platelets
PLATELET	5.295516	-22.05815	Platelets
Platelet	10.870238	-6.409747	Platelets
PLATELETS	6.7214327	-22.97405	Platelets
nuocytes	-7.65331	0.58468765	Nuocytes
Nuocytes	-4.9915915	0.19262479	Nuocytes
Nuocyte	-0.90121347	-1.2535325	Nuocytes
nuocyte	-7.0900984	0.28893965	Nuocytes
interneurons	-15.207646	10.791258	Interneurons
interneuron	-15.421171	10.758937	Interneurons
Interneuron	-11.655347	11.834184	Interneurons
INTERNEURONS	7.8237696	-16.348917	Interneurons
INTERNEURON	0.33410397	-1.9395443	Interneurons
Interneurons	-11.729619	11.1468315	Interneurons
EOSINOPHILS	5.6634703	-20.443169	Eosinophils
eosinophils	-12.89567	-6.3432755	Eosinophils
eosinophil	-13.65145	-8.706825	Eosinophils
Eosinophil	-13.996058	-9.246588	Eosinophils
EOSINOPHIL	6.3074946	-19.754972	Eosinophils
Eosinophils	-14.047711	4.868814	Eosinophils
NK-Cells	-1.1820805	-0.8514594	NK-cells
NK-cell	-9.320413	-2.5627625	NK-cells
NK-cells	-11.067127	-2.1671052	NK-cells
NK-Cell	2.608824	1.3414797	NK-cells
hemangioblasts	13.005642	6.802953	Hemangioblasts
hemangioblast	12.997884	6.809151	Hemangioblasts
Hemangioblasts	-0.8058781	2.633714	Hemangioblasts
Hemangioblast	-0.817981	1.0455173	Hemangioblasts
myofibroblast	-2.2866118	11.351307	Myofibroblasts
Myofibroblast	-1.532122	11.143857	Myofibroblasts
Myofibroblasts	-4.725434	11.562743	Myofibroblasts
myofibroblasts	-2.7020838	11.311039	Myofibroblasts
Neurons	-11.673725	10.827107	Neurons
NEURONS	9.0424595	-21.894915	Neurons
neurons	-14.917421	10.189652	Neurons
Neuron	-11.966206	12.828826	Neurons
NEURON	5.78341	-10.657706	Neurons
neuron	-15.133496	10.017231	Neurons
enterocytes	5.3396664	-2.5457997	Enterocytes
Enterocyte	5.408243	-0.4682493	Enterocytes
enterocyte	5.4232936	-2.498887	Enterocytes
Enterocytes	4.1060762	-1.4261061	Enterocytes
Microglia	-11.274901	8.300279	Microglia
microglia	-9.251717	6.8851905	Microglia
MICROGLIA	7.5729556	-17.756914	Microglia
KERATINOCYTES	5.2513766	-12.146574	Keratinocytes
keratinocytes	2.7224975	11.753289	Keratinocytes
keratinocyte	2.1484373	10.304996	Keratinocytes
Keratinocyte	4.1713037	8.337342	Keratinocytes
KERATINOCYTE	4.064556	-11.045181	Keratinocytes
Keratinocytes	-6.140001	14.329828	Keratinocytes
T-CELL	3.415128	-15.71481	T-cells
t-cells	-5.277258	1.2337756	T-cells
T-Cell	6.463152	2.0015833	T-cells
T-cell	-9.431881	-2.3637373	T-cells
T-CELLS	3.1778123	-11.134165	T-cells
T-Cells	6.225203	2.2957752	T-cells
t-cell	-7.295584	-2.9265733	T-cells
T-cells	-10.731727	-1.7052023	T-cells
spermatocyte	6.070266	-6.3508954	Spermatocytes
SPERMATOCYTES	6.390497	-16.658905	Spermatocytes
Spermatocyte	3.9485145	-5.513911	Spermatocytes
spermatocytes	6.0889134	-6.3574395	Spermatocytes
Spermatocytes	4.0102406	-5.5501623	Spermatocytes
neutrophil	-12.846947	-9.019718	Neutrophils
NEUTROPHIL	7.106415	-20.786665	Neutrophils
Neutrophils	-13.282775	5.399326	Neutrophils
neutrophils	-12.241284	-6.8382177	Neutrophils
Neutrophil	-13.219723	-9.757081	Neutrophils
NEUTROPHILS	7.0191464	-19.41698	Neutrophils
Alpha-cell	-1.52298	-3.0614076	Alpha-cells
alpha-cells	-17.366385	-1.2834256	Alpha-cells
Alpha-cells	-0.3711558	-2.3745248	Alpha-cells
alpha-cell	-17.7136	-1.7030123	Alpha-cells
plasma-cells	-5.7586775	-2.197003	Plasma-cells
Plasma-cell	-5.163994	-5.096022	Plasma-cells
Plasma-Cell	0.72763544	0.66916245	Plasma-cells
plasma-cell	-5.918058	-4.9937415	Plasma-cells
Plasma-cells	-1.3693038	-1.6934253	Plasma-cells
PLASMA-CELL	5.149219	-14.935686	Plasma-cells
motor-neurons	1.3879471	-3.3647215	Motor-neurons
Motor-neuron	0.6292799	-0.38872704	Motor-neurons
motor-neuron	2.0427885	-4.076305	Motor-neurons
Macrophage	-10.771405	-9.750053	Macrophages
MACROPHAGE	7.716665	-20.259853	Macrophages
macrophages	-11.650678	-7.071835	Macrophages
MACROPHAGES	8.019618	-22.691547	Macrophages
Macrophages	-12.9176655	6.1690035	Macrophages
macrophage	-11.484901	-8.955692	Macrophages
osteocyte	1.0058048	19.073853	Osteocytes
osteocytes	0.6604208	17.5664	Osteocytes
Osteocytes	-3.007065	16.65589	Osteocytes
Osteocyte	0.9443106	19.354362	Osteocytes
Erythroblast	3.808363	3.9849005	Erythroblasts
ERYTHROBLASTS	5.096433	-17.698158	Erythroblasts
Erythroblasts	9.5396185	1.6151835	Erythroblasts
erythroblast	12.870817	1.1249838	Erythroblasts
erythroblasts	12.426123	1.1518236	Erythroblasts
Neuroblasts	7.52233	6.2106805	Neuroblasts
Neuroblast	2.476502	4.1588664	Neuroblasts
neuroblast	8.945171	6.7078824	Neuroblasts
NEUROBLASTS	4.4832773	-14.203876	Neuroblasts
neuroblasts	8.825576	6.664763	Neuroblasts
MYOBLASTS	4.6656423	-13.597313	Myoblasts
myoblast	6.26078	10.592896	Myoblasts
Myoblast	4.5875535	6.013411	Myoblasts
Myoblasts	-6.735774	15.8146515	Myoblasts
MYOBLAST	2.9253454	-8.921147	Myoblasts
myoblasts	6.334751	10.689448	Myoblasts
megakaryocytes	12.162293	1.5272306	Megakaryocytes
MEGAKARYOCYTES	5.2657866	-18.298285	Megakaryocytes
megakaryocyte	13.575621	2.647973	Megakaryocytes
Megakaryocyte	13.70558	2.8194425	Megakaryocytes
Megakaryocytes	10.24386	1.9464701	Megakaryocytes
podocyte	-4.6518435	7.287374	Podocytes
Podocyte	-5.0810995	7.860709	Podocytes
Podocytes	-5.879139	11.043678	Podocytes
podocytes	-4.5260763	7.1774487	Podocytes
dendritic-cell	-7.3425074	-1.4151521	Dendritic-cells
Dendritic-cell	-6.1626606	-0.8764681	Dendritic-cells
dendritic-cells	-1.7607437	-0.7432652	Dendritic-cells
Beta-Cells	3.5292935	1.6791363	Beta-cells
Beta-cells	-0.1389492	-3.8389695	Beta-cells
Beta-Cell	4.383039	1.4345455	Beta-cells
beta-cell	-17.507158	-2.741918	Beta-cells
beta-cells	-17.083618	-1.5927614	Beta-cells
Beta-cell	-17.558315	-3.1234326	Beta-cells
trichocyte	-3.5344968	2.1262693	Trichocytes
Trichocyte	-0.43420675	0.23466249	Trichocytes
trichocytes	-2.7037752	2.8227391	Trichocytes
Goblet-cell	-3.0602512	-3.9302506	Goblet-cells
goblet-cells	-3.4511938	-2.6275766	Goblet-cells
goblet-cell	-3.808833	-3.9063199	Goblet-cells
Cholangiocyte	-1.0110925	5.62608	Cholangiocytes
cholangiocyte	-0.045195572	6.4939637	Cholangiocytes
cholangiocytes	0.7897809	6.607409	Cholangiocytes
Cholangiocytes	0.34442255	4.274772	Cholangiocytes
stromal-cell	2.3050444	-2.0507503	Stromal-cells
Stromal-Cell	-0.48268965	-0.3513584	Stromal-cells
stromal-cells	-1.7338845	-0.105626255	Stromal-cells
Stromal-cell	1.4408984	-1.379015	Stromal-cells
SPERMATOZOA	6.95997	-22.021006	Spermatozoa
spermatozoa	-1.306227	-10.3305	Spermatozoa
Spermatozoa	-1.3060682	-10.335025	Spermatozoa
cardiomyocytes	7.986431	11.89288	Cardiomyocytes
Cardiomyocytes	-7.6604753	16.15492	Cardiomyocytes
cardiomyocyte	8.065589	13.068324	Cardiomyocytes
Cardiomyocyte	7.0681863	14.796865	Cardiomyocytes
monocytes	-11.939749	-6.669026	Monocytes
Monocyte	-11.896403	-10.548684	Monocytes
MONOCYTES	6.388699	-18.39155	Monocytes
monocyte	-11.917226	-9.86167	Monocytes
MONOCYTE	3.6967983	-13.766659	Monocytes
Monocytes	-13.499874	5.756091	Monocytes
melanocyte	1.7059315	10.721437	Melanocytes
melanocytes	2.213894	11.6375475	Melanocytes
Melanocyte	3.6625762	4.8163085	Melanocytes
Melanocytes	-5.6858954	13.615372	Melanocytes
MELANOCYTE	5.756457	-16.688532	Melanocytes
MELANOCYTES	7.774819	-18.816835	Melanocytes
granulosa-cell	-2.3686082	-6.911762	Granulosa-cells
granulosa-cells	-1.9791657	-1.6696745	Granulosa-cells
Granulosa-cell	-2.557499	-6.0603724	Granulosa-cells
Osteoblast	4.745661	16.696426	Osteoblasts
OSTEOBLASTS	5.564694	-14.103555	Osteoblasts
osteoblasts	1.282891	16.95688	Osteoblasts
Osteoblasts	-3.925481	16.352459	Osteoblasts
osteoblast	2.6783342	16.999735	Osteoblasts
OSTEOBLAST	4.5765142	-15.865233	Osteoblasts
hepatocyte	1.8485235	7.7346478	Hepatocytes
hepatocytes	1.4282739	7.3378158	Hepatocytes
HEPATOCYTES	6.858358	-18.615675	Hepatocytes
HEPATOCYTE	5.6365314	-15.567615	Hepatocytes
Hepatocyte	3.339981	7.8440948	Hepatocytes
Hepatocytes	-7.9309306	15.476905	Hepatocytes
Sebocyte	2.512478	2.663557	Sebocytes
sebocyte	0.79960555	11.604551	Sebocytes
Sebocytes	1.6703622	2.6459024	Sebocytes
sebocytes	1.0874674	12.275949	Sebocytes
Ionocyte	-0.16045325	-1.2759184	Ionocytes
ionocyte	-3.4844952	4.340432	Ionocytes
Ionocytes	-1.7783144	1.8249745	Ionocytes
ionocytes	-3.6267564	4.389278	Ionocytes
osteoclast	2.5715811	17.498346	Osteoclasts
Osteoclasts	-3.4864948	16.531212	Osteoclasts
Osteoclast	4.6420517	17.073595	Osteoclasts
osteoclasts	1.464078	17.441563	Osteoclasts
OSTEOCLASTS	5.0809665	-16.75054	Osteoclasts
Basophils	-14.260806	4.6914563	Basophils
basophil	-8.530742	-7.6511297	Basophils
basophils	-12.987431	-5.724658	Basophils
