	principal component 1	principal component 2	origin
0	-2.238694	1.5078033	Epithelial-cells
1	-3.9789994	2.0646071	Epithelial-cells
2	-4.974375	2.6427321	Epithelial-cells
3	8.107448	0.09101283	T-cells
4	-0.4109884	-12.40679	T-cells
5	6.3388677	6.1916323	T-cells
6	2.7648668	-3.272483	T-cells
7	8.423492	-0.1328234	T-cells
8	7.882339	5.9499254	T-cells
9	1.0524555	-16.566853	T-cells
10	4.0411267	5.9412875	T-cells
11	8.740999	13.221315	Erythroblasts
12	4.777473	2.0734394	Erythroblasts
13	-0.91238284	-19.319181	Erythroblasts
14	8.399669	12.853708	Erythroblasts
15	6.0137534	10.525424	Erythroblasts
16	-9.58414	-0.018805578	Enterocytes
17	-9.5981045	0.03700565	Enterocytes
18	4.1557918	1.0110819	Enterocytes
19	2.2375436	3.347898	Enterocytes
20	-4.0861573	-6.192135	Ionocytes
21	-0.31642213	1.7774059	Ionocytes
22	-1.5339793	-0.9685544	Ionocytes
23	-4.0998755	-6.246943	Ionocytes
24	-0.3020198	0.37723303	Hepatoblasts
25	-6.399995	-9.056527	Hepatoblasts
26	-6.4140377	-9.065836	Hepatoblasts
27	1.6748517	2.238427	Hepatoblasts
28	-14.998568	6.9650803	Podocytes
29	-14.822356	6.8043756	Podocytes
30	-15.495056	7.570729	Podocytes
31	-1.065935	9.884859	Podocytes
32	-1.5358324	-18.27521	Osteoclasts
33	-1.1358507	16.957756	Osteoclasts
34	-8.943414	15.418612	Osteoclasts
35	-7.3772645	16.87457	Osteoclasts
36	-6.293617	17.137962	Osteoclasts
37	-0.022871375	-21.369268	Neutrophils
38	3.5570056	12.792597	Neutrophils
39	16.151007	6.8525662	Neutrophils
40	0.26623654	-22.744284	Neutrophils
41	15.395776	7.1393867	Neutrophils
42	13.164363	7.8169875	Neutrophils
43	-1.8293751	-0.021252606	Plasma-cells
44	4.0751457	3.9750693	Plasma-cells
45	1.4846592	0.1083174	Plasma-cells
46	-1.0548052	-16.585133	Plasma-cells
47	0.29973614	4.9790225	Plasma-cells
48	4.482756	4.5120316	Plasma-cells
49	-0.8779618	-17.338196	Hepatocytes
50	-10.367204	3.0412524	Hepatocytes
51	-0.56479514	13.86577	Hepatocytes
52	-11.878798	4.486291	Hepatocytes
53	-0.20684505	-20.563896	Hepatocytes
54	-10.526495	3.6405458	Hepatocytes
55	-1.0145878	-6.6931458	Pinealocytes
56	0.42512688	2.7678216	Pinealocytes
57	-0.25996184	-2.5879607	Pinealocytes
58	-1.0069133	-6.6971455	Pinealocytes
59	-1.936761	-13.919399	Keratinocytes
60	0.039854113	12.42176	Keratinocytes
61	-8.795021	5.726667	Keratinocytes
62	-7.6208367	6.970058	Keratinocytes
63	-1.2857963	-12.422785	Keratinocytes
64	-11.900923	5.539159	Keratinocytes
65	9.44546	-4.569778	Oligodendrocytes
66	6.668602	-7.946101	Oligodendrocytes
67	7.166298	-8.298839	Oligodendrocytes
68	8.330577	-8.454787	Oligodendrocytes
69	0.80752486	-1.7424762	Stromal-cells
70	1.2976838	-2.6172216	Stromal-cells
71	-1.5326439	0.6943952	Stromal-cells
72	-0.16072696	-0.082778916	Stromal-cells
73	0.48870277	0.65827626	Hemangioblasts
74	1.0138288	1.3808143	Hemangioblasts
75	-7.729977	-10.601568	Hemangioblasts
76	-7.7394443	-10.607921	Hemangioblasts
77	-10.338878	-4.2257576	Spermatozoa
78	-1.1606071	-23.85477	Spermatozoa
79	-10.332919	-4.2324724	Spermatozoa
80	-8.953556	2.2831876	Cholangiocytes
81	1.2990638	3.3598955	Cholangiocytes
82	-9.886854	2.1972177	Cholangiocytes
83	-3.582004	3.424524	Cholangiocytes
84	-1.083133	-10.27338	Myoblasts
85	-8.579254	10.140689	Myoblasts
86	-1.7164809	14.080252	Myoblasts
87	-8.682046	10.000094	Myoblasts
88	-7.6016116	12.084617	Myoblasts
89	-0.8326422	-15.10232	Myoblasts
90	3.4896126	0.21129811	Sebocytes
91	-6.694265	5.315964	Sebocytes
92	-7.2584167	4.860964	Sebocytes
93	2.8919353	1.8149713	Sebocytes
94	-0.78816545	2.9473457	Nuocytes
95	1.0647544	6.9890084	Nuocytes
96	-0.8681956	0.69626176	Nuocytes
97	1.0558366	6.3512034	Nuocytes
98	3.7930844	-8.094042	Neuroblasts
99	3.822486	-7.963879	Neuroblasts
100	4.410578	-2.2271326	Neuroblasts
101	-0.47107503	-15.673625	Neuroblasts
102	3.8806372	-6.3972406	Neuroblasts
103	-1.0145833	4.539454	Mast-cells
104	-0.9508376	5.5787115	Mast-cells
105	2.4240828	0.42820203	Mast-cells
106	12.9220295	3.535064	Mast-cells
107	-1.8589746	-19.146982	Basophils
108	3.6904542	11.664427	Basophils
109	1.2308823	-21.657206	Basophils
110	13.846787	3.506101	Basophils
111	12.549675	6.3994966	Basophils
112	14.128435	3.3583188	Basophils
113	-0.8776853	-18.443102	Melanocytes
114	5.5080137	1.8272808	Melanocytes
115	-7.412465	6.4537616	Melanocytes
116	-8.123182	5.6571617	Melanocytes
117	0.01682593	11.542782	Melanocytes
118	-1.3573549	-20.977207	Melanocytes
119	4.7662473	13.176897	Platelets
120	12.512511	11.761689	Platelets
121	12.829806	12.027982	Platelets
122	12.025515	11.332136	Platelets
123	-1.6480473	-24.874277	Platelets
124	-2.743003	-23.98281	Platelets
125	-11.6925955	10.526505	Cardiomyocytes
